ID,SMILES,exp,InChi
177,C=C1C[C@]23C[C@]1(CC[C@H]2[C@]12C=C[C@@H]([C@](C)([C@H]1[C@@H]3C(=O)O)C(=O)O2)O)O,-1.84,"InChI=1/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1/f/h21H"
178,CCC(CC)C(=O)O,-0.81,"InChI=1/C6H12O2/c1-3-5(4-2)6(7)8/h5H,3-4H2,1-2H3,(H,7,8)/f/h7H"
179,CCCC(CCC)C(=O)O,-1.86,"InChI=1/C8H16O2/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)/f/h9H"
180,c1ccc(cc1)OCC(=O)O,-1.1,"InChI=1/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)/f/h9H"
181,CCCCCCCCCCC(=O)O,-3.55,"InChI=1/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)/f/h12H"
182,CCCCCCCCCCCCCC(=O)O,-5.33,"InChI=1/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/f/h15H"
183,COC=O,0.58,"InChI=1/C2H4O2/c1-4-2-3/h2H,1H3"
184,CCCC(=O)OC,-0.82,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
185,CC(C)COC=O,-1.01,"InChI=1/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3"
186,CCCCOC(=O)C,-1.24,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
187,CCCCC(=O)OC,-1.36,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
188,C=CC(=O)OCC(C)C,-1.21,"InChI=1/C7H12O2/c1-4-7(8)9-5-6(2)3/h4,6H,1,5H2,2-3H3"
189,CCCC(=O)OCCC,-1.92,"InChI=1/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3"
190,CCCCCCOC(=O)C,-2.46,"InChI=1/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3"
191,CCCCCC(=O)OCC,-2.31,"InChI=1/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3"
192,CCCCCCC(=O)OCC,-2.71,"InChI=1/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3"
193,CCCCCCCC(=O)OCC,-3.39,"InChI=1/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3"
194,CCCCCCCCC(=O)OCC,-3.8,"InChI=1/C11H22O2/c1-3-5-6-7-8-9-10-11(12)13-4-2/h3-10H2,1-2H3"
195,CCCCCCCCCC(=O)OCC,-4.1,"InChI=1/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3"
196,COC(=O)c1ccccc1,-1.85,"InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
197,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.66,"InChI=1/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3"
198,CC(C)OC,-0.06,"InChI=1/C4H10O/c1-4(2)5-3/h4H,1-3H3"
199,CC(C)(C)OC,-0.24,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3"
200,CCCOCCC,-1.62,"InChI=1/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3"
201,CC(C)OC(C)C,-1.1,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
202,CCOCCOCC,-0.77,"InChI=1/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3"
203,c1ccc(cc1)Oc1ccccc1,-3.96,InChI=1/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H
204,c1ccc2c(c1)Oc1ccccc1O2,-5.31,InChI=1/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H
205,C1CCOC1,0.56,InChI=1/C4H8O/c1-2-4-5-3-1/h1-4H2
206,C([C@@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O,0.64,"InChI=1/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6+/m0/s1"
207,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@H]3CC[C@@](C(=O)CO)([C@]3(C)C[C@@H]([C@@H]21)O)O,-2.97,"InChI=1/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16+,18+,19-,20-,21-/m1/s1"
208,C[C@@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3([C@H](C[C@]2(C)[C@]1(C(=O)CO)O)O)F,-3.64,"InChI=1/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16+,17+,19+,20+,21-,22+/m1/s1"
209,CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](C[C@]12C)O)O,-4.46,"InChI=1/C23H32O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-18,20,26,28H,4-9,11-12H2,1-3H3/t16-,17+,18+,20+,21+,22+,23+/m1/s1"
210,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@](C(=O)CO)([C@@]3(C)C[C@H]([C@@H]21)O)O,-3.21,"InChI=1/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15+,16-,18+,19-,20+,21+/m1/s1"
211,CC(=O)S[C@H]1CC2=CC(=O)CC[C@@]2(C)[C@@H]2CC[C@@]3(C)[C@@H](CC[C@@]43CCC(=O)O4)[C@@H]12,-4.28,"InChI=1/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18+,19+,21+,22-,23+,24+/m1/s1"
212,C[C@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@@H]1CCC2=O)O,-3.96,"InChI=1/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16-,18-/m0/s1"
213,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21,-3.69,"InChI=1/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1"
214,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@H]3CC[C@H](C(=O)CO)[C@]3(C)CC[C@@H]21,-3.75,"InChI=1/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18-,20-,21-/m1/s1"
215,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@]4([C@H](C[C@]3(C)[C@]2(C(=O)CO)O1)O)F,-4.32,"InChI=1/C24H31FO6/c1-20(2)30-19-10-16-15-6-5-13-9-14(27)7-8-21(13,3)23(15,25)17(28)11-22(16,4)24(19,31-20)18(29)12-26/h7-9,15-17,19,26,28H,5-6,10-12H2,1-4H3/t15-,16-,17-,19+,21-,22-,23-,24+/m0/s1"
216,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@H]3CC[C@](C(=O)CO)([C@]3(C)C[C@H]([C@@]21F)O)O,-3.43,"InChI=1/C21H29FO5/c1-18-7-5-13(24)9-12(18)3-4-15-14-6-8-20(27,17(26)11-23)19(14,2)10-16(25)21(15,18)22/h9,14-16,23,25,27H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20+,21-/m1/s1"
217,C[C@H]1C[C@@H]2[C@H]3CC[C@](C(=O)C)([C@]3(C)C[C@H]([C@]2([C@]2(C)C=CC(=O)C=C12)F)O)O,-4.1,"InChI=1/C22H29FO4/c1-12-9-17-15-6-8-21(27,13(2)24)20(15,4)11-18(26)22(17,23)19(3)7-5-14(25)10-16(12)19/h5,7,10,12,15,17-18,26-27H,6,8-9,11H2,1-4H3/t12-,15+,17+,18+,19+,20+,21-,22+/m0/s1"
218,CCCCC(=O)O[C@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3([C@@H](C[C@]12C)O)F)C(=O)CO,-4.71,"InChI=1/C27H37FO6/c1-5-6-7-23(33)34-27(22(32)15-29)16(2)12-20-19-9-8-17-13-18(30)10-11-24(17,3)26(19,28)21(31)14-25(20,27)4/h10-11,13,16,19-21,29,31H,5-9,12,14-15H2,1-4H3/t16-,19-,20-,21+,24-,25-,26-,27+/m0/s1"
219,COc1ccccc1O,-1.96,"InChI=1/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3"
220,COc1ccc(cc1)C=O,-1.49,"InChI=1/C8H8O2/c1-10-8-4-2-7(6-9)3-5-8/h2-6H,1H3"
221,c1cc(ccc1Cl)O,-0.7,"InChI=1/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
222,c1c(cc(c(c1Cl)O)Cl)Cl,-2.34,"InChI=1/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H"
223,Cc1cc(ccc1Cl)O,-1.57,"InChI=1/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3"
224,C(COCCCl)Cl,-1.12,InChI=1/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2
225,C1[C@H]2[C@H]3[C@@H]([C@@H]1[C@@H]1[C@H]2O1)[C@@]1(C(=C([C@]3(C1(Cl)Cl)Cl)Cl)Cl)Cl,-6.29,"InChI=1/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4-,5+,6-,7+,10+,11-"
226,CCCCCCN,-1.1,"InChI=1/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3"
227,CCCCNCCCC,-1.44,"InChI=1/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3"
228,CCCCCCCCN,-2.75,"InChI=1/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3"
229,c1cc(ccc1N)N,-0.38,"InChI=1/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2"
230,Cc1ccccc1N,-0.85,"InChI=1/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3"
231,CNc1ccccc1,-1.28,"InChI=1/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
232,Cc1cccc(c1)N,-0.85,"InChI=1/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3"
233,CCN(CC)c1ccccc1,-3.03,"InChI=1/C10H15N/c1-3-11(4-2)10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3"
234,c1cc(ccc1Cc1ccc(cc1)N)N,-2.3,"InChI=1/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2"
235,c1ccncc1,0.76,InChI=1/C5H5N/c1-2-4-6-5-3-1/h1-5H
236,Cc1ccc(C)nc1,0.4,"InChI=1/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3"
237,Cc1cccc(C)n1,0.45,"InChI=1/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3"
238,Cc1ccncc1C,0.36,"InChI=1/C7H9N/c1-6-3-4-8-5-7(6)2/h3-5H,1-2H3"
239,Cc1cc(C)cnc1,0.38,"InChI=1/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3"
240,c1cnccc1c1ccncc1,-1.54,InChI=1/C10H8N2/c1-5-11-6-2-9(1)10-3-7-12-8-4-10/h1-8H
241,c1cnccc1C(=O)NN,0.01,"InChI=1/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)"
242,c1ccc2c(c1)ccc1c2cccn1,-3.36,InChI=1/C13H9N/c1-2-5-11-10(4-1)7-8-13-12(11)6-3-9-14-13/h1-9H
243,c1ccc2c(c1)nn[nH]2,-0.78,"InChI=1/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)"
244,c1cc[nH]c1,-0.17,InChI=1/C4H5N/c1-2-4-5-3-1/h1-5H
245,c1ccsc1,-1.45,InChI=1/C4H4S/c1-2-4-5-3-1/h1-4H
246,c1ccc2c(c1)cc[nH]2,-1.52,"InChI=1/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
247,c1ccnnc1,1.1,InChI=1/C4H4N2/c1-2-4-6-5-3-1/h1-4H
248,c1cc2c(cccn2)c(c1)O,-2.54,"InChI=1/C9H7NO/c11-9-5-1-4-8-7(9)3-2-6-10-8/h1-6,11H"
249,c1cc2cc(ccc2nc1)O,-2.16,"InChI=1/C9H7NO/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H"
250,CCC1(CC)C(=NC(=O)N(C)C1=O)O,-2.23,"InChI=1/C9H14N2O3/c1-4-9(5-2)6(12)10-8(14)11(3)7(9)13/h4-5H2,1-3H3,(H,10,12,14)"
251,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,"InChI=1/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3"
252,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)Cl,-5.01,"InChI=1/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3"
253,CN1[C@H]2CC[C@@H]1C[C@H](C2)OC(=O)[C@@H](CO)c1ccccc1,-2.12,"InChI=1/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15-,16-/m0/s1"
254,c1cc(CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl)oc1,-3.66,"InChI=1/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)/f/h16H,14H2"
255,CC/C(=C(/CC)\c1ccc(cc1)O)/c1ccc(cc1)O,-4.35,"InChI=1/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3/b18-17+"
256,CCC1(CC)C(=NC(=O)N=C1O)O,-1.39,"InChI=1/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)"
257,CCCC(C)(COC(=N)O)COC(=N)O,-1.67,"InChI=1/C9H18N2O4/c1-3-4-9(2,5-14-7(10)12)6-15-8(11)13/h3-6H2,1-2H3,(H2,10,12)(H2,11,13)"
258,Cc1cc(C)nc(n1)NS(=O)(=O)c1ccc(cc1)N,-2.27,"InChI=1/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)"
259,c1ccc2c(c1)N(CCCN1CCN(CC1)CCO)c1cc(ccc1S2)Cl,-4.16,"InChI=1/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2"
260,CN(C)CCCN1c2ccccc2Sc2ccccc12,-4.3,"InChI=1/C17H20N2S/c1-18(2)12-7-13-19-14-8-3-5-10-16(14)20-17-11-6-4-9-15(17)19/h3-6,8-11H,7,12-13H2,1-2H3"
261,c1c(c(cc2c1N=CNS2(=O)=O)S(=O)(=O)N)Cl,-3.05,"InChI=1/C7H6ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-3H,(H,10,11)(H2,9,12,13)"
262,CCOc1ccc(cc1)N=C(C)O,-2.37,"InChI=1/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)"
263,c1cc(ccc1N)S(=O)(=O)N,-1.36,"InChI=1/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)"
264,c1cn(c2c1c(N)ncn2)[C@@H]1[C@@H]([C@H]([C@@H](CO)O1)O)O,-1.95,"InChI=1/C11H14N4O4/c12-9-5-1-2-15(10(5)14-4-13-9)11-8(18)7(17)6(3-16)19-11/h1-2,4,6-8,11,16-18H,3H2,(H2,12,13,14)/t6-,7+,8-,11+/m1/s1"
265,c1cc(ccc1N)S(=O)(=O)Nc1nccs1,-2.43,"InChI=1/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)"
266,C=CCC1(C(C)C)C(=NC(=O)N=C1O)O,-1.71,"InChI=1/C10H14N2O3/c1-4-5-10(6(2)3)7(13)11-9(15)12-8(10)14/h4,6H,1,5H2,2-3H3,(H2,11,12,13,14,15)"
267,CCC[C@@H](C)C1(CC=C)C(=NC(=S)N=C1O)O,-3.46,"InChI=1/C12H18N2O2S/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)/t8-/m1/s1"
268,CCCCC1(CC)C(=NC(=O)N=C1O)O,-1.64,"InChI=1/C10H16N2O3/c1-3-5-6-10(4-2)7(13)11-9(15)12-8(10)14/h3-6H2,1-2H3,(H2,11,12,13,14,15)"
269,COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N,-3.28,"InChI=1/C11H12N4O3S/c1-18-11-7-6-10(13-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15)"
270,c1ccc2c(c1)ccc(=O)o2,-1.89,InChI=1/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H
271,CCc1nnc(NS(=O)(=O)c2ccc(cc2)N)s1,-1.94,"InChI=1/C10H12N4O2S2/c1-2-9-12-13-10(17-9)14-18(15,16)8-5-3-7(11)4-6-8/h3-6H,2,11H2,1H3,(H,13,14)"
272,C=CCC1(c2ccccc2)C(=NC(=O)N=C1O)O,-2.18,"InChI=1/C13H12N2O3/c1-2-8-13(9-6-4-3-5-7-9)10(16)14-12(18)15-11(13)17/h2-7H,1,8H2,(H2,14,15,16,17,18)"
273,CCC1(c2ccccc2)C(=NCN=C1O)O,-2.64,"InChI=1/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)"
274,c1c(c(cc2c1N[C@H](C(Cl)Cl)NS2(=O)=O)S(=O)(=O)N)Cl,-2.68,"InChI=1/C8H8Cl3N3O4S2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-14H,(H2,12,15,16)/t8-/m0/s1"
275,CC(=NS(=O)(=O)c1ccc(cc1)N)O,-1.23,"InChI=1/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)"
276,C([C@@H]([C@@H](CO)O)O)O,0.7,"InChI=1/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+"
277,c1c2c(ncnc2O)n[nH]1,-2.38,"InChI=1/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)"
278,COc1cc2c(cc1OC)N1C(=O)C[C@H]3[C@@H]4[C@H]5C[C@H]6[C@]2(CCN6CC5=CCO3)[C@@H]14,-2.09,"InChI=1/C23H26N2O4/c1-27-16-8-14-15(9-17(16)28-2)25-20(26)10-18-21-13-7-19-23(14,22(21)25)4-5-24(19)11-12(13)3-6-29-18/h3,8-9,13,18-19,21-22H,4-7,10-11H2,1-2H3/t13-,18-,19-,21-,22-,23+/m0/s1"
279,CCN(CC)CCN=C(c1cc(c(cc1OC)N)Cl)O,-3.18,"InChI=1/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)"
280,CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N,-3.81,"InChI=1/C9H10N2O3S2/c1-2-14-6-3-4-7-8(5-6)15-9(11-7)16(10,12)13/h3-5H,2H2,1H3,(H2,10,12,13)"
281,CCC1(C2=CCCCCC2)C(=NC(=O)N=C1O)O,-3,"InChI=1/C13H18N2O3/c1-2-13(9-7-5-3-4-6-8-9)10(16)14-12(18)15-11(13)17/h7H,2-6,8H2,1H3,(H2,14,15,16,17,18)"
282,c1cc(c(cc1[C@@H]1CC(=O)c2c(cc(cc2O1)O)O)O)O,-3.62,"InChI=1/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1"
283,COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,-2.58,"InChI=1/C11H12N4O3S/c1-18-9-6-13-11(14-7-9)15-19(16,17)10-4-2-8(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)"
284,Cc1cc(no1)NS(=O)(=O)c1ccc(cc1)N,-2.62,"InChI=1/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)"
285,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(c1OC)OC,-2.86,"InChI=1/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)"
286,Cc1nc(cc(n1)OC)NS(=O)(=O)c1ccc(cc1)N,-2.54,"InChI=1/C12H14N4O3S/c1-8-14-11(7-12(15-8)19-2)16-20(17,18)10-5-3-9(13)4-6-10/h3-7H,13H2,1-2H3,(H,14,15,16)"
287,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-3.99,"InChI=1/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/f/h14H"
288,Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.97,"InChI=1/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3"
289,c1ccc2c(c1)ccc(n2)O,-2.14,"InChI=1/C9H7NO/c11-9-6-5-7-3-1-2-4-8(7)10-9/h1-6H,(H,10,11)"
290,Cc1cnc(nc1O)O,-1.52,"InChI=1/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
291,CN1CCOCC1,1,"InChI=1/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3"
292,C1CCNCC1,1.07,"InChI=1/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2"
293,Cn1ccc(nc1=O)O,-0.8,"InChI=1/C5H6N2O2/c1-7-3-2-4(8)6-5(7)9/h2-3H,1H3,(H,6,8,9)"
294,CN1CCCCC1,0.23,"InChI=1/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3"
295,c1ccc(c(c1)N)O,-0.72,"InChI=1/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2"
296,c1ccc(c(c1)C(=O)O)N,-1.52,"InChI=1/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)/f/h9H"
297,CCOC(=N)O,0.85,"InChI=1/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)"
298,c1ccc(cc1)COC(=N)O,-0.35,"InChI=1/C8H9NO2/c9-8(10)11-6-7-4-2-1-3-5-7/h1-5H,6H2,(H2,9,10)"
299,C(=N)(N)O,0.96,"InChI=1/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
300,CNC(=N)O,1.13,"InChI=1/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)"
301,CN(C)C(=O)N(C)C,0.94,InChI=1/C5H12N2O/c1-6(2)5(8)7(3)4/h1-4H3
302,c1ccc(cc1)CNC(=N)O,-0.95,"InChI=1/C8H10N2O/c9-8(11)10-6-7-4-2-1-3-5-7/h1-5H,6H2,(H3,9,10,11)"
303,c1ccc(cc1)C(=N)O,-0.96,"InChI=1/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
304,c1ccc(c(c1)C(=N)O)C(=N)O,-2.92,"InChI=1/C8H8N2O2/c9-7(11)5-3-1-2-4-6(5)8(10)12/h1-4H,(H2,9,11)(H2,10,12)"
305,CC(=Nc1ccc(cc1)O)O,-1.03,"InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)"
306,CC(C)Oc1ccccc1OC(=NC)O,-2.05,"InChI=1/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)"
307,CN1CC[C@@]23[C@@H]4C=C[C@H]([C@H]3Oc3c(ccc(C[C@H]14)c23)OC)O,-1.52,"InChI=1/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m1/s1"
308,CCCN(=O)=O,-0.8,"InChI=1/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3"
309,c1ccc(cc1)N(=O)=O,-1.8,InChI=1/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H
310,Cc1cccc(c1)N(=O)=O,-2.44,"InChI=1/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3"
311,Cc1ccc(cc1)N(=O)=O,-2.49,"InChI=1/C7H7NO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3"
312,c1cc(ccc1N(=O)=O)O,-0.74,"InChI=1/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H"
